Product,Description,Alternates,Onhand,Condition
8855K5,,MS21026-B211,12,12
M39029/5-117,,,13,13
Q4559,,PROD CODE: 40579,1,1,,40579,,
RESTOCKING CHARGE,,,1,1
TAS8732-1C2,,,7,7
TEST REPORTS,,,6,6
90H549(W), LAMP CKT,,9,9
MEC-1MF,1 FEET DB9M/F CABLE,,1,1
T1-G,1 GAL JUG,MIL-L-25567E,21,21
WL-3229,14VOLT T-1 BULB,,100,100
A3L791-15-YLW,15 FT YELLOW CABLE,,1,1
8866K61,1POLE MINI TOGGLE SWITCH,MS21354-211,4,4
8843K1,1POLE TOGGLE SWITCH,MS24612-A212,20,20
8503K2,1POLELEVER LOCK TOGGLE SWITCH,MS24658-21E,3,3
WL-6839,28V T-1 LAMP,,1000,1000
WL-3335,28VOLT T-1 LAMP (F9),,100,100
8869K6X,2POLE TOGGLE SWITCH,MS90311-781,58,58,,5930-01-109-7580,,
T1-DAUBER,4 OZ DAUBER BTL,MIL-L-25567E,3131,3131
T1-4S,4 OZ SQZ BTL,MIL-L-25567E,3277,3277
T5-0006,5 POSITION 4 WAY TOGGLE,5930-01-622-5122,1,1
T5-0010,5 POSITION 4 WAY TOGGLE,9020011203-1,5,5
T1-0149,5 POSITION TOGGLE,5D0069-1,10,10
AD0001,AC ADAPTER,,10,10
19PA117-EN,ACTUATOR,,3,3
JV-20,ACTUATOR FOR MINI SWITCH,C91-0287,2,2,,,,
3378,ADAPTER,,7,7
3682-2311-02,ADAPTER,,4,4
627-123NF21-11,ADAPTER,,2,2
745173-3,ADAPTER,,1,1
800-821-1,ADAPTER,,35,35
806029-11,ADAPTER,,1,1
980211-1M1-3M0,ADAPTER,,1,1
AD-D25FF,ADAPTER,,4,4
ADBJ377E1PL20,ADAPTER,,1,1
KA-99-65,ADAPTER,,2,2
MS3420-8,ADAPTER,,12,12
P143B,ADAPTER,PB,37,37
PE9293,ADAPTER,,2,2
PWC70124,ADAPTER,,1,1
PWC70319,ADAPTER,,1,1
PWC70386,ADAPTER,,1,1
SB01B1A1916X1-043,ADAPTER,ETC-B1A1916X,11,11
SB01B1H1308X1,ADAPTER,,1,1
SB01B2E0804X1,ADAPTER,ETC-B2E0804X,17,17
149832-1,ADAPTER PLATE,1895014,6,6
4F5OXSS,ADAPTER STR/TUBE/EXT THD,,2,2
P147,ADAPTER W/SCREW,,142,142
CP-AD515,ADAPTER BNC 50 OHM,,30,30
90K600,ADAPTER CONNECTOR,5935-00-462-0618,191,191,,90K-600,,
M55339/36-00001,ADAPTER CONNECTOR,,2,2
JX-44,ADAPTER SWITCH ACTU,5930-00-722-8032,49,49,,580R016H02,,
P145,ADAPTOR,,17,17
P157B,ADAPTOR,,17,17
P244,ADAPTOR,,156,156
P145B,ADAPTOR ASSY,,100,100
871407-401,AERATOR COFFEE MAKER,,4,4
812499-5,AIR GRILL,,1,1
H5000-2-125-250,AIRCRAFT LATCH,,1,1
KS106-A002,ALL THREAD,,11,11
808348-3,ANGLE,,2,2
811101-5,ANGLE,1823269,4,4
815910-1,ANGLE,,1,1
820364-401,ANGLE,,2,2
832595-1,ANGLE,,5,5
812535-401,ANGLE A,,5,5
851-37988-002,ANNUNCIATOR,,15,15
ZFSC-2-1+,ANTENNA SPLITTER,160-027-489,122,122
150852-7,ARM,,9,9
833466-401C,ARM,,3,3
833466-404C,ARM,,5,5
806021-407,ARM ASSY,,3,3
822582-401,ARM ASSY,,1,1
812067-4,ARM L/H,,6,6
812067-3,ARM R/H,,6,6
JM-10,ARM SWITCH ACTUATOR,5930-01-072-8115,50,50,,12283230,,
828854-401N,ARMCAP,1894272,5,5
828854-402N,ARMCAP,1894276,25,25
835223-405D,ARMCAP,1894268,25,25
808807-408,ARMREST,1870706,2,2
844930-440A,ARMREST,,20,20
822953-401,ARMREST INSTL,,2,2
819839-405,ASHTRAY,,1,1
612-03-3-M01,ATTENUATOR,,4,4
9033-6-75,ATTENUATOR,,1,1
AT0706CB-0700JN-91,ATTENUATOR,,7,7
M3933/25-70S,ATTENUATOR,,1,1
IC-9-2,AUBURN IGNITER,,177,177
35HDNAU,AUDIO PLUG,,26,26
394-228-101,AXLE,,1,1
840494-409,BACK PA,1892085,4,4
840494-410,BACK PA,1892088,2,2
S30294-218-1,BACK-UP RING,,1,1
156072-1,BACK-UP WASHER,5970-01-260-9979,89,89
165X02609XE,BACKSHELL,,6,6
165X11679X,BACKSHELL,,24,24
449AM001NF1207-01-9L,BACKSHELL,5D0153-1207W1,28,28
973-050-010R011,BACKSHELL,,25,25
M85049/39-25W,BACKSHELL,,1,1
M85049/48-1-2F,BACKSHELL,,8,8
M85049/51-1-22W,BACKSHELL,,3,3
M85049/52-1-18W,BACKSHELL,,1,1
M85049/52-S10W,BACKSHELL,,2,2
M85049/55-14W,BACKSHELL,,6,6
M85049/69-17A,BACKSHELL,,2,2
MS27506B14-2,BACKSHELL,,95,95
TXR40AB00-1004AI,BACKSHELL,,3,3
829890-443GP,BAGGAGE BAR,,5,5
1616DCTN,BALL BEARING,,1,1
70P862385-2007,BAND CLAMP,5340-01-506-1239,8,8,,BC1357-1,,
829612-405,BAR,1846008,5,5
809521-401,BASE PLATE,,2,2
CR123A,BATTERY,,5,5
LS14250,BATTERY,,8,8
130224028,BATTERY 18V,,2,2
B362-06192-2,BATTERY KIT,,1,1
ARXX235,BATTERY PACK,,5,5
C2020,BATTERY PACK,,33,33
MN1500,BATTERY SIZE AA,,12,12
M4T28-BR12SH1,BATTERY/CRYSTAL,,2,2
812246-121,BEAM,,2,2
812246-122,BEAM,,2,2
812246-123,BEAM,,2,2
812246-66,BEAM,,1,1
143931,BEARING,3110-00-390-0699,1872,1872
805420-3,BEARING,,3,3
832114-401,BEARING,,347,347
MS21432-3R6AG,BEARING,,2,2
WA5002-625-202,BEARING,,1,1
YCRSL-12,BEARING,,2,2
P297-1,BLACK BUTTON,,21,21
10164-1,BLACK COLLAR,,13,13
582L51-1,BLANK LENS,,75,75
815627-3,BLCRNK,,2,2
P144B,BLK ADAPTOR,PAB,28,28
809024-4,BLOCK,,3,3
809436-401,BLOCK,,2,2
DF30300V24,BLOWER,,6,6
10164-10,BLUE COLLAR,,30,30
MS27249-5E1,BOARD,,6,6
147605,BODY VALVE,,1,1
142752-1,BOLT,,8,8
20-057-4-10H,BOLT,,45,45
20-057-5-45D,BOLT,,50,50
815006-3,BOLT,,2,2
815006-9,BOLT,,4,4
831646-3,BOLT,,2,2
839349-1,BOLT,,1,1
AN3-21A,BOLT,,294,294
NAS1303-20,BOLT,,1,1
NAS1785-8-44,BOLT,,69,69
NAS1995C3PT,BOLT,,61,61
NAS464P3A7,BOLT,,8,8
NAS1104-16DW,BOLT HEXAGON,,2,2
NAS6203-21H,BOLT HEXAGON,,1,1
NAS6603-17,BOLT SHEAR,,21,21
AN735D10,BONDING CLAMP,,75,75
202A111-4/86,BOOT,,13,13
M5423/14-07,BOOT,,1,1
93800-02,BOTTOM ISOLATOR,,1,1
LS966-16,BOX CONNECTOR,,27,27
LS965-8,BOX CONNECTOR ELECT,5975-01-326-4659,1,1
141002,BRACKET,,15,15
141905,BRACKET,,8,8
144764,BRACKET,,1,1
145094-3,BRACKET,150862-1,11,11,,1831884,,
145174-401,BRACKET,145174-1,54,54
145264-1,BRACKET,1809493,1,1
145274-1,BRACKET,1809497,10,10
146245-1,BRACKET,1823100,26,26
146255-1,BRACKET,1823204,1,1
146692,BRACKET,5340-01-260-8222,22,22
148462-1,BRACKET,,7,7
150632-1,BRACKET,1823201,1,1
150952-1,BRACKET,,28,28
151382-1,BRACKET,1809494,1,1
160012,BRACKET,,4,4
429146,BRACKET,,5,5
803398-5,BRACKET,,3,3
808744-403,BRACKET,,2,2
808753-403,BRACKET,,1,1
809023-3,BRACKET,,6,6
809276-6,BRACKET,,7,7
809446-5,BRACKET,,3,3
809450-6,BRACKET,1871220,19,19
810804-3,BRACKET,,6,6
811113-3,BRACKET,,3,3
811124-4,BRACKET,,6,6
812235-45,BRACKET,,14,14
812464-10,BRACKET,,2,2
815711-403,BRACKET,,4,4
815885-401,BRACKET,,9,9
815932-3,BRACKET,,11,11
815940-403,BRACKET,815940-401,2,2
817576-401,BRACKET,,14,14
820363-22,BRACKET,,1,1
820363-401,BRACKET,,1,1
820364-12,BRACKET,,2,2
824021-401,BRACKET,,3,3
827232-1,BRACKET,,5,5
827232-2,BRACKET,,6,6
827404-404A,BRACKET,89AR1120,1,1
830103-406,BRACKET,,1,1
835813-5,BRACKET,,5,5
837234-21,BRACKET,,1,1
837905-1,BRACKET,,4,4
837930-3,BRACKET,,15,15
44B24627,BRACKET OXYGEN CYLINDER,,3,3
"MS25082B-8 1/4"" THICK",BRASS HEXNUT,,5,5
833118-401,BREW TRAY ASSY,,3,3
146402,BRG SLEEVE,,12,12
150342-1,BRK,,8,8
5262-S,BROWN OUTLET SLIM VERSION,S30014-1,5,5
834956-401,BTM CUSH AY,,5,5
HG000091-001,BULB,6312-03-LOG-VIO-PSA-CTL-50,5,5
800-505(A),BULB BOOT,,56,56
800-505(B),BULB BOOT,,15,15
800-505(W),BULB BOOT,,87,87
800-505(R),BULB BOOT,D248-100-1,21,21
4004618-0001,BUMPER,,1,1
809915-5,BUMPER,,7,7
811453-3,BUMPER,,17,17
817884-3,BUMPER,,46,46
818197-8G,BUMPER,,19,19
818197-8N,BUMPER,,1,1
818197-8T,BUMPER,,14,14
ANL-325,BUS,,46,46
4P040-7-10-3,BUS ASSEMBLY,,19,19
4V028-10-8-2,BUS ASSEMBLY,,2,2
3V9-8-28-6,BUS ASSY,,7,7
843-8-CLC1AMD,BUS ASSY,LN0245-4,1,1
4S028-5-14-4,BUS ASSY FLEXIBLE,,1,1
20-124-014,BUS BAR,,9,9
30-006-6-26,BUS BAR,,2,2
4V028-8-10-4,BUS BAR,,3,3
4V032-10-6-4,BUS BAR,,1,1
C8855-10BL9,BUS BAR,,5,5
MS25226-10-20,BUS BAR,,2,2
MS25226-10-3,BUS BAR,,2,2
MS25226-10-7,BUS BAR,,3,3
MS25226-2-3,BUS BAR,367-0810-020,4,4
MS25226-2-6,BUS BAR,,3,3
MS25226-2N-5,BUS BAR,,15,15
MS25226-2T-5,BUS BAR,,4,4
MS25226-2T-8,BUS BAR,,1,1
MS25226-4-10,BUS BAR,,5,5
MS25226-4-4,BUS BAR,4/4/34,1,1
MS25226-4-5,BUS BAR,,67,67
MS25226-4-7,BUS BAR,,40,40
MS25226-4S-3,BUS BAR,,10,10
MS25226-6-5,BUS BAR,,8,8
MS25226-6T-4,BUS BAR,,25,25
MS25226-8-3,BUS BAR,,1,1
MS25226-8-4,BUS BAR,,80,80
NAS1060-2-2,BUS BAR,,10,10
147512,BUSHING,,1,1
148012,BUSHING,,79,79
156402,BUSHING,3120-01-258-3055,11,11
156412,BUSHING,,34,34
800750-5,BUSHING,,5,5
808874-7,BUSHING,,7,7
808874-9,BUSHING,,7,7
808877-7,BUSHING,,10,10
808877-9,BUSHING,,21,21
809041-3,BUSHING,,3,3
812191-7,BUSHING,,3,3
815704-5,BUSHING,,1,1
827280-3,BUSHING,,3,3
831644-3,BUSHING,,14,14
AAB502-1,BUSHING,KS101-003,15,15
KS101-001,BUSHING,,5,5
NAS1057T6-122,BUSHING,,50,50
NAS75-6-020,BUSHING,WA5022-112-104,1,1
NAS75-8-024,BUSHING,WA5022-116-110,10,10
NAS77-3-034,BUSHING,,1,1
NAS77-6-013,BUSHING,WA5020-112-103,2,2
NAS77-8-019,BUSHING,WA5020-116-105,32,32
WA5020-110-101,BUSHING,,1,1
WA5022-108-106,BUSHING,,80,80
WA5022-110-101,BUSHING,,20,20
3V7-10-64-4,BUSS ASSEMBLY,,2,2
53-2222-2,BUTTON,227217,1,1
53-2223-6,BUTTON,227236,171,171
809833-401,BUTTON,,4,4
819474-1,BUTTON,,1,1
TAS8622-3,BUTTON PLUG,207-320401-00-2099,6,6,,296-126-086,,
TAS8622-1,BUTTON PLUG,207-160201-00-0108,43,43
PBX2L,BUZZER,,3,3
148612,C ILDER ASSY,,10,10
141992-2,CABLE,,38,38
141992-4,CABLE,,6,6
147852,CABLE,,4,4
151032-1,CABLE,1820082,3,3
813613-7,CABLE,,7,7
835450-401,CABLE,,2,2
ASM6541,CABLE,ASM65-41 REV E,4,4,,990-01-016 BCT#/58,,
DVI-2396,CABLE,,1,1
F16209-01,CABLE,,9,9
70072,CABLE ASSEMBLY,,2,2
AUD-1200-12,CABLE ASSEMBLY,,1,1
141912,CABLE ASSY,,5,5
142502-1,CABLE ASSY,,7,7
488-004,CABLE ASSY,,1,1
91004086-T,CABLE ASSY,,7,7
ESATA-3-GN,CABLE ASSY,,1,1
FCABLE057,CABLE ASSY,FCABLE057MRE,4,4
M83413/8-A008DD,CABLE ASSY,,24,24
1332-06C,CABLE ASSY BLUE CONNECTOR,,2,2
813613-11,CABLE POWER,,3,3
815727-13,CABLE STP,,1,1
837351-401,CALL PL,,8,8
821033-425,CAN ASSY,,1,1
1115-1115-300BEC,CAP,222-0100-001,15,15
807265-403,CAP,,8,8
815274-2,CAP,,8,8
815767-3,CAP,,1,1
AT412C,CAP,,1,1
KS551,CAP,,377,377
M39006/22-0497H,CAP,,1,1
WAC2920-1,CAP,,8,8
10686-2,CAP CER,A55485/06-011D,10,10
10EL(A),CAP AMBER,D153-100-4,3,3,,2G10,,,,M22885/12-06,,
401206-2,CAP BLACK BUTTON,,594,594
10EL(B),CAP BLUE,M22885/12-01,5,5,,D153-100-6,,
7572V,CAP VALVE,,268,268
10EL(W),CAP WHITE,D153-100-35,10,10,,M22885/12-04,,,,266-6268-000,,
10EL(Y),CAP YELLOW,M22885/12-05,32,32,,D153-100-34,,,,266-6806-050,,,,266-6778-180,,
DCC-02,CAPPROTECTIVEDUST,,3,3
10EL(R),CAPRED,D153-100-1,29,29,,M22885/12-03,,,,6210-00-901-1079,,,,266-6806-060,,
199D106X9016CA1,CAPACITOR,5910-01-424-1435,95,95
9011-100-1032,CAPACITOR,,1,1
AM6114,CAPACITOR,,23,23
AM6115,CAPACITOR,,9,9
AM6116,CAPACITOR,,10,10
CS13BF105K,CAPACITOR,,62,62
M39003/01-2988,CAPACITOR,,8,8
M39003/01-3003,CAPACITOR,,7,7
M39003/01-3026,CAPACITOR,,7,7
M39003/01-8213,CAPACITOR,,3,3
M39006/22-0551H,CAPACITOR,,1,1
M39014/05-2261,CAPACITOR,,1,1
M39022/01-1497,CAPACITOR,,4,4
M83421/01-5209S,CAPACITOR,,7,7
M83421/01-5269M,CAPACITOR,,4,4
T340D476K025AS,CAPACITOR,,3,3
511D476M050BB4D,CAPACITOR 47UF,,6,6
M39003/01-2303,CAPACITOR FXD,,4,4
T495X106K035AS,CAPACTOR,,11,11
293-14838-000,CAPSULE,6220-00-413-1304,2,2
AA000066-001,CERT CHARGE,,1,1
AS7380-38P,CHAIN,500135A,11,11
802493-1,CHANNEL,,5,5
827223-45,CHANNEL,,4,4
827223-46,CHANNEL,,2,2
834131-409,CHECK VALVE ASSY,834131-405,1,1
143802,CHECKVALVE,,6,6
808820-404,CHNL A,,1,1
HCL601,CHOKE HIGH CURRENT,,34,34
806868-201,CIRCUIT,,2,2
106-M2-P30-2A,CIRCUIT BREAKER,5925-01-274-1006,1,1
10AT96-1,CIRCUIT BREAKER,,2,2
110-P10-F10-RS01-330819-309-5A,CIRCUIT BREAKER,930023-309,10,10
110-P10-F10-RS02-330801-209-5A,CIRCUIT BREAKER,930023-209,8,8
110-P10-F10-WS02X-10A,CIRCUIT BREAKER,,3,3
110-P10-F10-WS02X-5A,CIRCUIT BREAKER,,3,3
1110-F112-P1M1-0.5A,CIRCUIT BREAKER,5925-12-358-3520,26,26
1180-02-2A,CIRCUIT BREAKER,,19,19
1200-001-50,CIRCUIT BREAKER,MP107A,2,2,,C41-3364,,,,S30496-50,,,,5925-01-047-8884,,
1500-008-1/2,CIRCUIT BREAKER,LS7501-1/2,1,1,,5925-00-027-2029,,
1536-001-10,CIRCUIT BREAKER,S30001-3,4,4,,5925-00-999-4905,,
1536-001-15,CIRCUIT BREAKER,S30001-4,1,1,,5925-00-941-8159,,
1536-001-25,CIRCUIT BREAKER,S30001-6,6,6,,5925-00-999-4907,,,,900V169-25,,,,5925-01-296-6694,,
1536-001-30,CIRCUIT BREAKER,,1,1
1536-001-7 1/2,CIRCUIT BREAKER,S30001-2,5,5,,5925-00-999-4909,,,,1536-001-705,,
1536-066-25,CIRCUIT BREAKER,5D0003-25,1,1,,5925-01-417-8689,,
1536-066-30,CIRCUIT BREAKER,5D0003-30,1,1,,5925-01-483-3361,,
160-012-75,CIRCUIT BREAKER,MS25361-75,3,3,,S30016-4,,,,5925-01-576-5407,,,,344623,,
160-012-80,CIRCUIT BREAKER,MP162A,5,5,,MS25361-80,,,,S30016-5,,,,5925-00-875-1296,,
2-5700-IG1-K10-DD-5A,CIRCUIT BREAKER,5925-01-469-2482,39,39
2-5700-IG1-P10-0.6A,CIRCUIT BREAKER,5925-00-762-2363,3,3
2-5700-IG1-P10-5A,CIRCUIT BREAKER,5016669-20,15,15,,5925-00-887-9380,,
20TC2-BG7 1/2,CIRCUIT BREAKER,,5,5
2TC14-15,CIRCUIT BREAKER,,5,5
2TC14-7 1/2,CIRCUIT BREAKER,,8,8
2TC2-1,CIRCUIT BREAKER,MS3320-1,33,33
2TC2-5,CIRCUIT BREAKER,MS3320-5,4,4,,5925-00-855-1088,,
3120-F72S-N7T1-A30QB4X065,CIRCUIT BREAKER,3120-F72S-N7T1-A30QB4XO65,10,10
3TC7-20,CIRCUIT BREAKER,MS25244-20,1,1
3TC7-25,CIRCUIT BREAKER,MS25244-25,2,2
3TC7-5,CIRCUIT BREAKER,MS25244-5,4,4
4001-001-20,CIRCUIT BREAKER,MS22073-20,3,3,,5925-01-423-2765,,
4001-008-2 1/2,CIRCUIT BREAKER,MS22073-2 1/2V,1,1
412-K54-LN2-20A,CIRCUIT BREAKER,,5,5
412-K54-LN2-25A,CIRCUIT BREAKER,,10,10
412-K54-LN2-35A,CIRCUIT BREAKER,,5,5
412-K54-LN2-5A,CIRCUIT BREAKER,,20,20
412-K54-LN2-8A,CIRCUIT BREAKER,,5,5
4120-G214-J1M1-B2SOZN-15A,CIRCUIT BREAKER,MS3320-15,224,224,,5925-00-431-3256,,
4120-G214-J1M1-B2SOZN-20A,CIRCUIT BREAKER,MS3320-20,10,10,,4120-G214-JIM1-B20ZN-20A,,
4120-G214-J1M1-B2SOZN-5A,CIRCUIT BREAKER,MS3320-5,2,2,,5925-00-452-1270,,
4120-G214-J1M1-B2SOZN-7 1/2A,CIRCUIT BREAKER,MS3320-7 1/2,17,17
4120-G214-J3M1-C4S0ZN-25A,CIRCUIT BREAKER,,151,151
413-K34-LN2-40A,CIRCUIT BREAKER,,24,24
